player_id,player_name,conf,pos,salary,contract_years,baselineEYS,current_season,current_week
10260,"Peterson, Patrick",NFC,CB,1.089,0.0,2.9,2024,0
10260,"Peterson, Patrick",AFC,CB,1.089,0.0,2.9,2024,0
13276,"Sutton, Cameron",NFC,CB,1.089,0.0,1.7,2024,0
13707,"Ward, Denzel",NFC,CB,1.089,0.0,3.33,2024,0
13730,"Alexander, Jaire",NFC,CB,1.089,0.0,2.3,2024,0
15845,"McDuffie, Trent",AFC,CB,1.089,2.0,2.9,2024,0
15375,"Newsome, Greg",AFC,CB,1.078,1.0,1.7,2024,0
15832,"Stingley Jr., Derek",NFC,CB,1.078,2.0,3.22,2024,0
15380,"Campbell, Tyson",AFC,CB,1.056,0.0,3.33,2024,0
15847,"Elam, Kaiir",AFC,CB,1.056,2.0,1.7,2024,0
16251,"Gonzalez, Christian",AFC,CB,1.045,3.0,1.7,2024,0
16253,"Forbes, Emmanuel",AFC,CB,1.045,3.0,1.7,2024,0
15833,"Gardner, Ahmad",NFC,CB,1.034,2.0,4.14,2024,0
16241,"Witherspoon, Devon",NFC,CB,1.034,3.0,5.2,2024,0
15845,"McDuffie, Trent",NFC,CB,1.0120000000000002,0.0,2.9,2024,0
16240,"Porter Jr., Joey",AFC,CB,1.0120000000000002,3.0,1.7,2024,0
15849,"McCreary, Roger",AFC,CB,1.0010000000000001,2.0,1.7,2024,0
15852,"Gordon, Kyler",AFC,CB,1.0010000000000001,2.0,1.7,2024,0
16251,"Gonzalez, Christian",NFC,CB,1.0010000000000001,3.0,1.7,2024,0
10789,"Gilmore, Stephon",AFC,CB,0.9900000000000001,0.0,1.7,2024,0
11348,"Slay, Darius",NFC,CB,0.9900000000000001,1.0,4.54,2024,0
12245,"Peters, Marcus",AFC,CB,0.9900000000000001,0.0,1.7,2024,0
12291,"Nelson, Steven",NFC,CB,0.9900000000000001,0.0,1.7,2024,0
12291,"Nelson, Steven",AFC,CB,0.9900000000000001,0.0,1.7,2024,0
12976,"Hamilton, Antonio",AFC,CB,0.9900000000000001,0.0,1.7,2024,0
13223,"Humphrey, Marlon",NFC,CB,0.9900000000000001,0.0,1.74,2024,0
13224,"Lattimore, Marshon",AFC,CB,0.9900000000000001,1.0,3.33,2024,0
13232,"King, Desmond",AFC,CB,0.9900000000000001,0.0,4.54,2024,0
13263,"Awuzie, Chidobe",NFC,CB,0.9900000000000001,0.0,1.7,2024,0
13266,"Witherspoon, Ahkello",NFC,CB,0.9900000000000001,0.0,1.7,2024,0
13266,"Witherspoon, Ahkello",AFC,CB,0.9900000000000001,0.0,1.7,2024,0
13414,"Hilton, Mike",NFC,CB,0.9900000000000001,0.0,2.73,2024,0
13754,"Yiadom, Isaac",AFC,CB,0.9900000000000001,0.0,1.7,2024,0
13764,"Johnson, Taron",NFC,CB,0.9900000000000001,0.0,1.93,2024,0
13767,"Maddox, Avonte",NFC,CB,0.9900000000000001,1.0,1.7,2024,0
14199,"Murphy-Bunting, Sean",AFC,CB,0.9900000000000001,1.0,1.7,2024,0
14219,"Dean, Jamel",NFC,CB,0.9900000000000001,0.0,1.7,2024,0
14252,"Jackson, Michael",AFC,CB,0.9900000000000001,0.0,1.7,2024,0
14263,"Ballentine, Corey",NFC,CB,0.9900000000000001,0.0,1.7,2024,0
14669,"Nixon, Keisean",NFC,CB,0.9900000000000001,0.0,1.7,2024,0
14669,"Nixon, Keisean",AFC,CB,0.9900000000000001,0.0,1.7,2024,0
14905,"Henderson, CJ",AFC,CB,0.9900000000000001,0.0,1.7,2024,0
14924,"Johnson, Jaylon",NFC,CB,0.9900000000000001,0.0,1.7,2024,0
15177,"Bryant, Myles",AFC,CB,0.9900000000000001,0.0,1.7,2024,0
15375,"Newsome, Greg",NFC,CB,0.9900000000000001,0.0,1.7,2024,0
15384,"Samuel, Asante",NFC,CB,0.9900000000000001,0.0,1.7,2024,0
15392,"St-Juste, Benjamin",NFC,CB,0.9900000000000001,1.0,1.7,2024,0
15394,"Adebo, Paulson",NFC,CB,0.9900000000000001,1.0,4.14,2024,0
15394,"Adebo, Paulson",AFC,CB,0.9900000000000001,0.0,4.14,2024,0
15402,"Molden, Elijah",AFC,CB,0.9900000000000001,0.0,1.7,2024,0
15445,"Lenoir, Deommodore",AFC,CB,0.9900000000000001,0.0,1.7,2024,0
15849,"McCreary, Roger",NFC,CB,0.9900000000000001,0.0,1.7,2024,0
15859,"Taylor-Britt, Cam",NFC,CB,0.9900000000000001,1.0,4.54,2024,0
15862,"Emerson, Martin",NFC,CB,0.9900000000000001,0.0,1.7,2024,0
15862,"Emerson, Martin",AFC,CB,0.9900000000000001,2.0,1.7,2024,0
15868,"Jones, Marcus",NFC,CB,0.9900000000000001,0.0,1.7,2024,0
